scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,traje,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,predicted_resolution_period,confidence_level,method,trajectory_period,trajectory_total_demand,trajectory_total_supply,trajectory_shortage_amount,trajectory_unsold,trajectory_shortage_percentage,trajectory_disrupted_manufacturers,trajectory_fda_announcement,shortage_flag
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,0,1,0.7,0.3,0,30,[],Initial shortage detected. Monitoring closely.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,1,1.05,0.7,0.35,0,33.33,[],Encouraging manufacturers to increase capacity.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,2,1.1,0.7,0.4,0,36.36,[],Shortage persists; urging faster response.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,3,1.1,0.7,0.4,0,36.36,[1],Manufacturer 1 disrupted; monitoring impact.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,4,1.1,0.28,0.82,0,74.55,[1],Severe shortage; emergency measures considered.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,5,1.05,0.28,0.77,0,73.33,[1],Emergency measures implemented; recovery expected.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,6,1,0.7,0.3,0,30,[],Manufacturer 1 recovers; supply improving.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,7,0.95,0.9,0.05,0,5.26,[],Supply nearing equilibrium; monitoring continues.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,8,0.95,1,0,0.05,0,[],Shortage resolved; normal operations resumed.,TRUE
gt_id_5,b54d7369,0,2,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7455,0.31919,8,8,6.96,13.979,9,8,medium,zero_shot_trajectory,9,0.95,1,0,0.05,0,[],,TRUE
