,scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,trajectory_period,trajectory_total_demand,trajectory_total_supply,trajectory_shortage_amount,trajectory_unsold,trajectory_shortage_percentage,trajectory_disrupted_manufacturers,trajectory_fda_announcement,shortage_flag
0,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,0,1,1,0,0,0,[],,FALSE
1,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,1,1.2,0.9,0.3,0,0.25,[1],"The FDA is aware of a potential disruption by one manufacturer, but current supply levels are adequate. We encourage stakeholders to report any changes in supply to help us monitor the situation. No immediate action is required.",TRUE
2,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,2,1.3,0.82,0.48,0,0.369230769,[1],The FDA is aware of an emerging shortage situation concerning a specific drug due to manufacturer disruption. We are closely monitoring the situation and encourage manufacturers and other stakeholders to report any changes in supply status. Coordination efforts are underway to minimize patient impact.,TRUE
3,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,3,1.3,0.97,0.33,0,0.253846154,[1],The FDA is aware of an emerging drug shortage due to manufacturer disruptions. We are actively coordinating with stakeholders to address supply issues. Healthcare providers are encouraged to conserve inventory and report any additional supply disruptions.,TRUE
4,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,4,1.3,0.97,0.33,0,0.253846154,[1],The FDA is closely monitoring the emerging drug shortage and encourages all manufacturers to report any potential disruptions. Stakeholders are advised of our continued oversight and guidance as needed.,TRUE
5,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,5,1.1,0.87,0.23,0,0.209090909,[],The FDA is actively monitoring the current situation of an emerging shortage. We encourage manufacturers to report any production issues and buyers to engage in prudent purchasing practices. No immediate actions are needed from the general public.,TRUE
6,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,6,1.5,0.84,0.66,0,0.44,[0],The FDA is aware of emerging supply disruptions affecting one manufacturer of this product. We are actively monitoring the situation and encourage stakeholders to continue reporting supply issues.,TRUE
7,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,7,1.3,0.936,0.364,0,0.28,[0],The FDA is aware of the emerging drug shortage and is actively working with stakeholders to mitigate supply disruptions. Manufacturers are encouraged to communicate any production capacity changes promptly. Patients and healthcare providers are advised to follow updates and manage inventory responsibly to prevent exacerbating the situation.,TRUE
8,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,0,1.2,0.9,0.3,0,0.25,[0],,TRUE
9,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,1,1.3,0.9,0.4,0,0.307692308,[0],The FDA acknowledges the emerging shortage and is actively monitoring the situation. We encourage manufacturers to report any production disruptions and buyers to maintain normal purchasing patterns. Coordination efforts are underway to minimize patient impact.,TRUE
10,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,2,1.5,1.05,0.45,0.05,0.3,[0],The FDA is aware of emerging supply disruptions affecting certain drug categories. We encourage manufacturers to report supply issues promptly and explore capacity expansion. Buyers are advised to maintain normal purchasing patterns to avoid exacerbating the situation.,FALSE
