,scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,trajectory_period,trajectory_total_demand,trajectory_total_supply,trajectory_shortage_amount,trajectory_unsold,trajectory_shortage_percentage,trajectory_disrupted_manufacturers,trajectory_fda_announcement,shortage_act,Resolution Success Rate (RSR),Resolution Lag Percentage (RLP)
0,gt_id_14,5c46101d,0,2,6,5,0.05,0.6,0.25,0.166363636,5,,4.72375,6.1735,5,0,1.1,0.9,0.2,0,0.181818182,[4],The FDA is monitoring the situation of supply disruptions in the market. We encourage manufacturers and stakeholders to report any potential issues proactively to ensure continued market stability and patient access.,TRUE,1,
1,gt_id_14,5c46101d,0,2,6,5,0.05,0.6,0.25,0.166363636,5,,4.72375,6.1735,5,1,1.2,0.9,0.3,0,0.25,[4],The FDA is currently monitoring the emerging drug shortage and encourages voluntary reporting by manufacturers and healthcare providers. We are facilitating coordination among stakeholders to address potential supply challenges.,TRUE,,
2,gt_id_14,5c46101d,0,2,6,5,0.05,0.6,0.25,0.166363636,5,,4.72375,6.1735,5,2,1.2,1,0.2,0,0.166666667,[4],The FDA is aware of emerging shortages of certain drugs. We are monitoring the situation closely and encourage manufacturers to voluntarily report any disruptions in drug supply.,FALSE,,
3,gt_id_14,5c46101d,0,2,6,5,0.05,0.6,0.25,0.166363636,5,,4.72375,6.1735,5,3,1.2,1.035,0.165,0.035,0.1375,[4],"The FDA is aware of emerging concerns regarding potential supply disruptions in the market. We encourage manufacturers and healthcare providers to report any changes in supply conditions promptly, while we continue monitoring closely.",FALSE,,
4,gt_id_14,5c46101d,0,2,6,5,0.05,0.6,0.25,0.166363636,5,,4.72375,6.1735,5,4,1.2,1.085,0.115,0.085,0.095833333,[4],"The FDA is aware of an emerging shortage issue and is monitoring the situation closely. Manufacturers are encouraged to report any production disruptions, and stakeholders are urged to maintain distribution discipline to prevent exacerbating supply issues.",FALSE,,
5,gt_id_20,102fd406,0,2,7,5,0.05,0.5,0.226190476,0.124832612,5,,4.79662381,5.865590476,2,0,1.1,0.928571429,0.171428571,0,0.155844156,[5],,TRUE,1,
6,gt_id_20,102fd406,0,2,7,5,0.05,0.5,0.226190476,0.124832612,5,,4.79662381,5.865590476,2,1,1.2,0.928571429,0.271428571,0,0.226190476,[5],The FDA is currently monitoring an emerging drug shortage. Manufacturers and stakeholders are encouraged to report supply disruptions and enhance coordination efforts.,TRUE,,
7,gt_id_20,102fd406,0,2,7,5,0.05,0.5,0.226190476,0.124832612,5,,4.79662381,5.865590476,2,2,1.2,1.045809524,0.154190476,0.045809524,0.128492063,[5],The FDA is currently monitoring the emerging drug shortage. We encourage healthcare providers and manufacturers to report supply challenges and potential mitigation strategies to facilitate effective coordination.,FALSE,,
8,gt_id_20,102fd406,0,2,7,5,0.05,0.5,0.226190476,0.124832612,5,,4.79662381,5.865590476,2,3,1,0.964285714,0.035714286,0,0.035714286,[5],,TRUE,,
9,gt_id_20,102fd406,0,2,7,5,0.05,0.5,0.226190476,0.124832612,5,,4.79662381,5.865590476,2,4,1.1,1.014285714,0.085714286,0.014285714,0.077922078,[5],,FALSE,,
10,gt_id_48,b9082c97,0,2,2,4,0.05,0.6,0.533333333,0.504166667,4,,2.725,6.01,3,0,1.2,0.7,0.5,0,0.416666667,[1],,TRUE,0,
11,gt_id_48,b9082c97,0,2,2,4,0.05,0.6,0.533333333,0.504166667,4,,2.725,6.01,3,1,1.5,0.7,0.8,0,0.533333333,[1],"The FDA is aware of emerging supply challenges related to this product and is closely monitoring the situation. We encourage manufacturers, distributors, and healthcare providers to voluntarily report any significant supply disruptions or changes in demand to help assess and address the situation efficiently.",TRUE,,
12,gt_id_48,b9082c97,0,2,2,4,0.05,0.6,0.533333333,0.504166667,4,,2.725,6.01,3,2,1.5,0.7,0.8,0,0.533333333,[1],The FDA is closely monitoring the current supply situation. Manufacturers and distributors are encouraged to report any anticipated disruptions. We are working to ensure stable supply and assess any needs for further action.,TRUE,,
