scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,traje,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,predicted_resolution_period,confidence_level,method
gt_id_5,0509cd8d,0,2.0,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA urges manufacturers to increase production.'}, {'period': 3, 'total_demand': 1.15, 'total_supply': 0.7, 'shortage_amount': 0.45, 'unsold': 0.0, 'shortage_percentage': 39.13, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.75, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 31.82, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports progress in supply recovery.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.85, 'shortage_amount': 0.15, 'unsold': 0.0, 'shortage_percentage': 15.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 7, 'total_demand': 1.0, 'total_supply': 0.9, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 10.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 8, 'total_demand': 1.0, 'total_supply': 0.95, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces shortage nearing resolution.'}, {'period': 9, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolved.'}]",0.39130000000000004,0.22445,9,9,8.05,13.09,4,9,medium,zero_shot_trajectory
gt_id_9,f7b65fb0,0,2.0,4,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.85, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 19.05, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring the situation closely.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.85, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 22.73, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA urges manufacturers to increase production capacity.'}, {'period': 2, 'total_demand': 1.08, 'total_supply': 0.9, 'shortage_amount': 0.18, 'unsold': 0.0, 'shortage_percentage': 16.67, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA approves expedited capacity expansion plans.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports significant progress in resolving the shortage.'}]",0.2273,0.158025,4,3,3.6,5.0280000000000005,4,4,medium,zero_shot_trajectory
gt_id_14,06a99eae,0,2.0,6,5,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.9, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 10.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring situation closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.9, 'shortage_amount': 0.15, 'unsold': 0.0, 'shortage_percentage': 14.29, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA encourages manufacturers to increase production.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.84, 'shortage_amount': 0.26, 'unsold': 0.0, 'shortage_percentage': 23.64, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA fast-tracks approval for capacity expansion.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 0.98, 'shortage_amount': 0.07, 'unsold': 0.0, 'shortage_percentage': 6.67, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports supply improvements.'}, {'period': 4, 'total_demand': 1.0, 'total_supply': 1.05, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolved.'}]",0.2364,0.1092,4,4,4.67,5.838,5,4,medium,zero_shot_trajectory
gt_id_20,dfa7eaec,0,2.0,7,5,0.05,0.5,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.93, 'shortage_amount': 0.12, 'unsold': 0.0, 'shortage_percentage': 11.43, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.93, 'shortage_amount': 0.17, 'unsold': 0.0, 'shortage_percentage': 15.45, 'disrupted_manufacturers': [3], 'fda_announcement': 'FDA acknowledges shortage and encourages increased production.'}, {'period': 2, 'total_demand': 1.08, 'total_supply': 0.88, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 18.52, 'disrupted_manufacturers': [3], 'fda_announcement': ''}, {'period': 3, 'total_demand': 1.05, 'total_supply': 0.93, 'shortage_amount': 0.12, 'unsold': 0.0, 'shortage_percentage': 11.43, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces expedited approval for capacity expansion.'}, {'period': 4, 'total_demand': 1.02, 'total_supply': 1.0, 'shortage_amount': 0.02, 'unsold': 0.0, 'shortage_percentage': 1.96, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.1852,0.11757999999999999,5,4,4.67,5.993,2,5,medium,zero_shot_trajectory
gt_id_48,0049129b,0,2.0,2,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA acknowledges shortage, advises conservation.'}, {'period': 1, 'total_demand': 1.15, 'total_supply': 0.7, 'shortage_amount': 0.45, 'unsold': 0.0, 'shortage_percentage': 39.13, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA fast-tracks approval for capacity expansion.'}, {'period': 2, 'total_demand': 1.05, 'total_supply': 0.85, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 19.05, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces expected resolution timeline.'}, {'period': 3, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms shortage resolution.'}]",0.39130000000000004,0.23635,3,3,3.25,5.455,4,3,medium,zero_shot_trajectory
gt_id_54,40df26fc,0,2.0,2,7,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring the situation closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.3, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA urges manufacturers to increase production.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.4, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA considering expedited approvals for capacity expansion.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 0.85, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 19.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA approves temporary production increases.'}, {'period': 4, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms supply stabilization.'}, {'period': 5, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 6, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.364,0.16957142857142857,4,4,5.95,8.475,5,4,medium,zero_shot_trajectory
gt_id_58,f9bbb832,0,2.0,2,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA acknowledges shortage, advises on conservation'}, {'period': 1, 'total_demand': 1.15, 'total_supply': 0.7, 'shortage_amount': 0.45, 'unsold': 0.0, 'shortage_percentage': 39.13, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to increase production'}, {'period': 2, 'total_demand': 1.12, 'total_supply': 0.85, 'shortage_amount': 0.27, 'unsold': 0.0, 'shortage_percentage': 24.11, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA fast-tracks approval for capacity expansion'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolution imminent'}]",0.39130000000000004,0.2609,4,3,3.25,5.707000000000001,4,4,medium,zero_shot_trajectory
gt_id_60,3d34fb6e,0,2.0,2,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA acknowledges shortage, urges manufacturers to increase production.'}, {'period': 1, 'total_demand': 1.15, 'total_supply': 0.7, 'shortage_amount': 0.45, 'unsold': 0.0, 'shortage_percentage': 39.13, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA fast-tracks approval for capacity expansion.'}, {'period': 2, 'total_demand': 1.05, 'total_supply': 0.85, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 19.05, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports progress on capacity expansions.'}, {'period': 3, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolved.'}]",0.39130000000000004,0.23635,3,3,3.25,5.455,4,3,medium,zero_shot_trajectory
gt_id_61,195bfbe5,0,2.0,9,4,0.05,0.3333333333333333,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.96, 'shortage_amount': 0.09, 'unsold': 0.0, 'shortage_percentage': 8.57, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring situation closely, no intervention yet.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.96, 'shortage_amount': 0.14, 'unsold': 0.0, 'shortage_percentage': 12.73, 'disrupted_manufacturers': [2], 'fda_announcement': 'FDA urges manufacturers to increase production capacity.'}, {'period': 2, 'total_demand': 1.08, 'total_supply': 0.98, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.26, 'disrupted_manufacturers': [2], 'fda_announcement': 'FDA fast-tracks approval for capacity expansions.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.02, 'shortage_amount': 0.03, 'unsold': 0.0, 'shortage_percentage': 2.86, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces resolution of shortage.'}]",0.1273,0.08355,4,3,3.92,4.676,4,3,medium,zero_shot_trajectory
gt_id_66,229a90ed,0,2.0,6,10,0.05,0.5,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.92, 'shortage_amount': 0.13, 'unsold': 0.0, 'shortage_percentage': 12.38, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.92, 'shortage_amount': 0.18, 'unsold': 0.0, 'shortage_percentage': 16.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA urges manufacturers to increase production.'}, {'period': 3, 'total_demand': 1.08, 'total_supply': 0.92, 'shortage_amount': 0.16, 'unsold': 0.0, 'shortage_percentage': 14.81, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 4, 'total_demand': 1.06, 'total_supply': 0.92, 'shortage_amount': 0.14, 'unsold': 0.0, 'shortage_percentage': 13.21, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces expedited review for capacity expansions.'}, {'period': 5, 'total_demand': 1.04, 'total_supply': 0.92, 'shortage_amount': 0.12, 'unsold': 0.0, 'shortage_percentage': 11.54, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 6, 'total_demand': 1.02, 'total_supply': 0.92, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.8, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 7, 'total_demand': 1.01, 'total_supply': 1.0, 'shortage_amount': 0.01, 'unsold': 0.0, 'shortage_percentage': 0.99, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms new capacities are operational.'}, {'period': 8, 'total_demand': 1.0, 'total_supply': 1.02, 'shortage_amount': 0.0, 'unsold': 0.02, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 9, 'total_demand': 1.0, 'total_supply': 1.02, 'shortage_amount': 0.0, 'unsold': 0.02, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.1636,0.08709,8,7,9.48,11.372,3,8,medium,zero_shot_trajectory
