scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,trajectory,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,predicted_resolution_period,confidence_level,method
gt_id_11,617be7c3,0,1.0,5,8,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA announces awareness of potential shortages.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA advises on potential supply recovery plans.'}, {'period': 3, 'total_demand': 1.15, 'total_supply': 0.8, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 30.43, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA encourages capacity investments.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 1.0, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.09, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces expected recovery timelines.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms supply stabilization.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 7, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.3043,0.11324999999999999,4,0,7.7,9.549999999999999,5,5,medium,zero_shot_trajectory
gt_id_12,4d8b59fd,0,1.0,4,6,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [0], 'fda_announcement': 'FDA announces potential shortage and advises conservation.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [0], 'fda_announcement': 'FDA encourages manufacturers to increase production capacity.'}, {'period': 3, 'total_demand': 1.08, 'total_supply': 1.0, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 7.41, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports recovery of disrupted manufacturer.'}, {'period': 4, 'total_demand': 1.05, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms supply stabilization.'}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.2727,0.09748333333333332,3,0,5.800000000000001,6.973000000000001,4,4,medium,zero_shot_trajectory
gt_id_13,b86db22a,0,1.0,3,7,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'No current disruptions. Monitor for potential shortages.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 reports a 20% capacity disruption.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [1], 'fda_announcement': ""Continued monitoring of Manufacturer 1's recovery.""}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 has recovered. Supply expected to stabilize.'}, {'period': 4, 'total_demand': 1.02, 'total_supply': 1.0, 'shortage_amount': 0.02, 'unsold': 0.0, 'shortage_percentage': 1.96, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply levels are near normal. Continue monitoring.'}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply and demand are balanced. No further actions required.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Market conditions stable. Monitoring continues.'}]",0.2727,0.08257142857142856,4,0,6.6,7.902000000000001,7,5,medium,zero_shot_trajectory
gt_id_16,d8377f7e,0,1.0,6,10,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [2], 'fda_announcement': 'FDA announces potential supply issues.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [2], 'fda_announcement': ''}, {'period': 3, 'total_demand': 1.15, 'total_supply': 1.0, 'shortage_amount': 0.15, 'unsold': 0.0, 'shortage_percentage': 13.04, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages capacity investments.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 5, 'total_demand': 1.05, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms stabilization.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 7, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 8, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 9, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares end of shortage scenario.'}]",0.2727,0.06412000000000001,3,0,10.100000000000001,11.219999999999999,4,4,high,zero_shot_trajectory
gt_id_17,f4209160,0,1.0,3,7,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring situation'}, {'period': 1, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 2, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 3, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 4, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 6, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.0,0.0,0,0,7.0,7.0,1,6,low,zero_shot_trajectory
gt_id_19,fe1c2610,0,1.0,8,5,0.05,0.2,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'No disruptions reported. Monitoring ongoing.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [2], 'fda_announcement': 'Disruption reported for manufacturer 2. Encouraging capacity investments.'}, {'period': 2, 'total_demand': 1.15, 'total_supply': 0.8, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 30.43, 'disrupted_manufacturers': [2], 'fda_announcement': 'Continued disruption for manufacturer 2. FDA urges rapid investment.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 1.0, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.09, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 2 recovers. New investments coming online.'}, {'period': 4, 'total_demand': 1.05, 'total_supply': 1.2, 'shortage_amount': 0.0, 'unsold': 0.15, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply exceeds demand. Shortage resolved.'}]",0.3043,0.14309999999999998,4,0,4.8,6.33,5,4,medium,zero_shot_trajectory
gt_id_22,5eb6ce88,0,1.0,2,8,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [0], 'fda_announcement': 'FDA announces potential supply issues due to recent disruption.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [0], 'fda_announcement': 'FDA encourages manufacturers to increase production capacity.'}, {'period': 3, 'total_demand': 1.15, 'total_supply': 1.0, 'shortage_amount': 0.15, 'unsold': 0.0, 'shortage_percentage': 13.04, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports manufacturer recovery and expected capacity increases.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms stabilization of supply.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 6, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 7, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.2727,0.08015,3,0,8.0,9.219999999999999,4,4,medium,zero_shot_trajectory
gt_id_23,435fb047,0,1.0,2,6,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring situation'}, {'period': 1, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 2, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 3, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 4, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0, 'unsold': 0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.0,0.0,0,0,6.0,6.0,1,5,low,zero_shot_trajectory
gt_id_24,063027dc,0,1.0,3,6,0.05,0.2,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'No current disruptions reported.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.8, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 23.81, 'disrupted_manufacturers': [0], 'fda_announcement': 'One manufacturer reports a 20% capacity disruption.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [0], 'fda_announcement': 'FDA encourages manufacturers to increase capacity.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 1.0, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.09, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply stabilizing as investments come online.'}, {'period': 4, 'total_demand': 1.05, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Market returning to normal conditions.'}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.1, 'shortage_amount': 0.0, 'unsold': 0.1, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply fully restored; no shortages expected.'}]",0.2727,0.10028333333333334,3,0,5.800000000000001,7.015000000000001,6,4,medium,zero_shot_trajectory
gt_id_31,b7bd1aed,0,1.0,5,6,0.05,0.2,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'No current disruptions reported.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.8, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 27.27, 'disrupted_manufacturers': [2], 'fda_announcement': 'Manufacturer 2 reports a 20% capacity disruption.'}, {'period': 2, 'total_demand': 1.15, 'total_supply': 0.8, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 30.43, 'disrupted_manufacturers': [2], 'fda_announcement': ""Ongoing monitoring of Manufacturer 2's recovery.""}, {'period': 3, 'total_demand': 1.1, 'total_supply': 1.0, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.09, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 2 recovers; supply stabilizes.'}, {'period': 4, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'Market conditions stabilizing.'}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply and demand equilibrium achieved.'}]",0.3043,0.12718333333333334,5,0,5.6,7.385,6,5,medium,zero_shot_trajectory
