period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.2,0.55,0.6499999999999999,0,0.5416666666666666,[1],
1,1.3,0.55,0.75,0,0.5769230769230769,[1],The FDA is monitoring the emerging shortage conditions of the affected drug. Manufacturers and stakeholders are encouraged to report any supply disruptions and communicate capacity expansion plans. Coordination efforts are being facilitated to ensure minimal impact to patients.
2,1.2,0.655,0.5449999999999999,0,0.4541666666666666,[1],The FDA is aware of an emerging drug shortage and is closely monitoring the situation. We encourage manufacturers to increase reporting and coordination with the FDA to mitigate possible impacts.
3,1.5,0.06999999999999998,1.43,0,0.9533333333333333,"[0, 1]",The FDA has identified an emerging shortage in the market. We urge manufacturers to assess capacity for potential expansion and encourage collaboration among stakeholders to mitigate the impact. Buyers should maintain responsible purchasing patterns. Please report any supply chain issues promptly.
4,1.5,0.011499999999999995,1.4885,0,0.9923333333333333,"[0, 1]",The FDA has identified an emerging shortage in the market. We urge manufacturers to ramp up production and stakeholders to coordinate efforts to stabilize supply. Please avoid stockpiling to ensure equitable distribution.
5,1.5,0.011499999999999995,1.4885,0,0.9923333333333333,[0],The FDA is closely monitoring the emerging medication shortage and encourages manufacturers and healthcare providers to report supply issues. We are available to support coordination efforts to ensure patient needs are met.
6,1.5,0.011499999999999995,1.4885,0,0.9923333333333333,[0],The FDA is aware of an emerging shortage of a critical medication affecting patient care. We are actively working with manufacturers and stakeholders to coordinate efforts and increase production where feasible. Providers are encouraged to report any supply issues and consider alternative treatment options if available.
7,1.5,0.012999999999999994,1.487,0,0.9913333333333334,[0],The FDA is aware of emerging supply disruptions for this drug and is actively monitoring the situation. We encourage manufacturers and stakeholders to report any supply issues to facilitate a coordinated response.
8,1.2,0.013999999999999995,1.186,0,0.9883333333333333,[],The FDA is monitoring the current drug supply situation. We encourage manufacturers to report any anticipated disruptions and remind healthcare providers to report any challenges in obtaining necessary medications.
9,1.5,0.008149999999999998,1.49185,0,0.9945666666666666,[0],The FDA is actively monitoring an emerging shortage. We urge manufacturers to report production capabilities and coordinate to address the supply issue. Healthcare providers are advised to manage use prudently and report any supply disruptions.
