period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.2,0.7,0.5,0.0,0.4166666666666667,[0],
1,1.5,0.7,0.8,0.0,0.5333333333333333,[0],The FDA acknowledges an emerging shortage situation and encourages manufacturers and distributors to coordinate efforts to mitigate impacts. We are actively monitoring the situation and welcome voluntary reports from stakeholders.
2,1.5,0.8500000000000001,0.6499999999999999,0.0,0.4333333333333333,[0],The FDA is aware of an emerging shortage situation. We advise manufacturers to ramp up production where possible and urge healthcare providers to report supply issues promptly. Coordination among stakeholders is encouraged to mitigate impact.
3,1.5,1.045,0.45500000000000007,0.04499999999999993,0.3033333333333334,[0],The FDA acknowledges an emerging shortage in the market. We are actively coordinating with involved manufacturers to mitigate the impact. Healthcare providers are advised to report any related supply issues.
4,1.2,1.045,0.15500000000000003,0.04499999999999993,0.1291666666666667,[0],The FDA confirms an emerging drug shortage due to recent disruptions in manufacturing. Stakeholders are encouraged to coordinate efforts to mitigate supply issues. Manufacturers are urged to increase transparency and report any production updates.
5,1.2,1.2,0.0,0.19999999999999996,0.0,[0],The FDA is aware of the emerging drug shortage and is actively monitoring the situation. We encourage manufacturers and distributors to report any supply chain disruptions and collaborate on resolving this issue swiftly.
6,1.2,1.2,0.0,0.19999999999999996,0.0,[0],
7,1.2,1.2,0.0,0.19999999999999996,0.0,[0],The FDA is monitoring an emerging drug shortage situation. Manufacturers and healthcare providers are encouraged to report any disruptions to help ensure continued patient access.
8,1.2,1.2,0.0,0.19999999999999996,0.0,[0],The FDA is aware of an emerging supply disruption affecting one manufacturer. Current supply levels remain adequate. We encourage manufacturers and stakeholders to report any potential supply changes promptly.
9,1.2,1.2,0.0,0.19999999999999996,0.0,[0],
