period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.2,0.9,0.29999999999999993,0.0,0.24999999999999994,[1],The FDA is aware of emerging supply disruptions affecting certain medications. We are actively monitoring the situation and encourage manufacturers and healthcare providers to report any significant changes in supply. Our priority is to ensure patient access to necessary treatments.
1,1.5,0.9,0.6,0.0,0.39999999999999997,[1],The FDA is aware of emerging supply disruptions affecting certain medications. We are closely monitoring the situation and encourage manufacturers and healthcare providers to report any supply issues. Coordination efforts are underway to minimize impact.
2,1.3,1.05,0.25,0.050000000000000044,0.1923076923076923,[1],The FDA is aware of an emerging drug shortage due to manufacturer disruptions. We encourage manufacturers to report production capacities and coordinate with stakeholders to mitigate impact. Patients and healthcare providers are advised to manage existing supplies prudently.
3,1.5,1.05,0.44999999999999996,0.050000000000000044,0.3,[1],The FDA is aware of emerging supply disruptions affecting certain medications. We encourage manufacturers to report any production challenges and collaborate to mitigate potential shortages. Stakeholders are advised to monitor the situation closely.
4,1.5,1.05,0.44999999999999996,0.050000000000000044,0.3,[1],The FDA is aware of emerging supply challenges in the market and is actively monitoring the situation. We encourage manufacturers and stakeholders to report any disruptions and coordinate to ensure continued supply.
5,1.5,1.05,0.44999999999999996,0.050000000000000044,0.3,[1],The FDA is aware of an emerging shortage in the market. We encourage manufacturers to increase production where possible and urge stakeholders to report any supply disruptions. Coordination among industry players is crucial to mitigate this shortage.
6,1.5,1.1150000000000002,0.3849999999999998,0.11500000000000021,0.25666666666666654,"[0, 1]",The FDA is aware of an emerging shortage in the market. We encourage manufacturers to increase production and report any disruptions. Stakeholders are advised to coordinate efforts to ensure patient access.
7,1.5,1.31,0.18999999999999995,0.31000000000000005,0.12666666666666662,[1],"The FDA is aware of an emerging shortage in the market. We encourage manufacturers to report production capabilities and disruptions, and we urge stakeholders to coordinate efforts to stabilize supply. Patient safety remains our top priority."
8,1.4,1.31,0.08999999999999986,0.31000000000000005,0.06428571428571418,[1],The FDA is closely monitoring the current emerging drug shortage situation. We encourage manufacturers to report any supply disruptions and buyers to manage inventories responsibly. Coordination efforts are underway to ensure patient needs are met.
9,1.2,1.2,0.0,0.19999999999999996,0.0,[1],The FDA is aware of emerging disruptions in the market for the affected drug. We encourage manufacturers to report any supply issues and buyers to maintain normal purchasing patterns. Coordination efforts are underway to ensure continued supply.
