period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.3,0.7,0.6000000000000001,0.0,0.46153846153846156,[0],
1,1.3,0.7,0.6000000000000001,0.0,0.46153846153846156,[0],"The FDA confirms an emerging shortage in the supply of [drug name]. We urge stakeholders to coordinate and prioritize supply chain solutions to minimize impact. Manufacturers should assess capacity expansion opportunities, and buyers are encouraged to avoid excessive stockpiling."
2,1.5,0.8500000000000001,0.6499999999999999,0.0,0.4333333333333333,[0],The FDA is actively monitoring an emerging shortage in the market. We encourage manufacturers to increase production where possible and request stakeholders to coordinate on allocation strategies to mitigate impact. Stay informed through our ongoing updates.
3,1.5,1.0,0.5,0.0,0.3333333333333333,[0],The FDA is aware of an emerging shortage of a critical drug due to a manufacturer disruption. We are working with industry partners to address supply challenges and encourage stakeholders to coordinate efforts to mitigate impact. Voluntary reporting of inventory levels is appreciated to assist in monitoring the situation.
4,1.2,1.2,0.0,0.19999999999999996,0.0,[0],The FDA is aware of emerging supply issues related to a specific product and is actively monitoring the situation. We encourage manufacturers to report any anticipated disruptions and buyers to maintain normal purchasing patterns. Coordination with stakeholders is recommended.
5,1.2,1.2,0.0,0.19999999999999996,0.0,[0],
6,2.0,1.2,0.8,0.19999999999999996,0.4,[0],The FDA is aware of an emerging supply issue. Manufacturers and healthcare providers are encouraged to report any significant disruptions. We are monitoring the situation closely.
7,1.3,1.2,0.10000000000000009,0.19999999999999996,0.07692307692307698,[0],The FDA is aware of an emerging shortage and is actively monitoring the situation. We encourage manufacturers to report supply updates and explore capacity expansion options. Buyers are advised to manage inventory prudently and avoid stockpiling.
8,1.3,1.2,0.10000000000000009,0.19999999999999996,0.07692307692307698,[0],"The FDA is aware of emerging supply issues with a critical drug. We encourage manufacturers to voluntarily report any disruptions, and stakeholders to maintain necessary levels without unnecessary stockpiling. Coordination efforts are in place to assess and address supply needs."
9,1.1,1.1,0.0,0.10000000000000009,0.0,[0],"The FDA is aware of the emerging situation affecting one manufacturer. Currently, supply remains adequate and stable. We encourage industry stakeholders to continue monitoring and reporting relevant data to facilitate early coordination if needed."
