period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.2,0.7,0.5,0.0,0.4166666666666667,[0],
1,1.3,0.7,0.6000000000000001,0.0,0.46153846153846156,[0],The FDA is aware of emerging supply concerns for this product. We encourage manufacturers to report potential disruptions and are monitoring the situation closely to ensure patient access remains stable.
2,1.5,0.8500000000000001,0.6499999999999999,0.0,0.4333333333333333,[0],The FDA is aware of an emerging shortage and encourages all manufacturers and stakeholders to report supply disruptions and coordinate to mitigate impact.
3,1.5,0.98,0.52,0.0,0.3466666666666667,[0],The FDA is closely monitoring an emerging drug shortage and encourages manufacturers and healthcare providers to report supply issues. Voluntary sharing of supply data will contribute to better coordination efforts.
4,1.5,0.98,0.52,0.0,0.3466666666666667,[0],The FDA has confirmed an emerging drug shortage affecting market stability. Stakeholders are encouraged to report supply updates and collaborate to mitigate impacts. Coordination efforts are underway to manage distribution and production adjustments as needed.
5,1.5,1.214,0.28600000000000003,0.21399999999999997,0.19066666666666668,[0],The FDA is aware of an emerging shortage and encourages manufacturers to increase production while buyers are urged to maintain regular purchasing patterns. We are monitoring the situation closely and coordinating with stakeholders to minimize impact.
6,1.2,1.2,0.0,0.19999999999999996,0.0,[0],The FDA is monitoring the emerging drug shortage closely and encourages all manufacturers and stakeholders to report any disruptions in supply. The FDA is on standby to facilitate coordination and support where needed.
7,1.2,1.2,0.0,0.19999999999999996,0.0,[0],The FDA is aware of an emerging supply issue and is closely monitoring the situation. We encourage manufacturers and healthcare providers to report any disruptions or concerns.
8,1.2,1.2,0.0,0.19999999999999996,0.0,[0],
9,1.2,1.2,0.0,0.19999999999999996,0.0,[0],
