period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.2,0.7,0.5,0,0.4166666666666667,[0],
1,1.3,0.7,0.6000000000000001,0,0.46153846153846156,[0],The FDA is issuing an alert regarding an emerging shortage situation due to a disruption with one manufacturer. Stakeholders are encouraged to collaborate and report any production increases or alternative supply options. Patients should remain calm as measures are being coordinated to mitigate impacts.
2,1.5,0.7749999999999999,0.7250000000000001,0,0.4833333333333334,[0],The FDA is aware of the emerging shortage and is monitoring the situation closely. We encourage manufacturers to voluntarily report any disruptions and buyers to maintain routine purchase behaviors.
3,1.5,0.43,1.07,0,0.7133333333333334,"[0, 1]",The FDA is issuing a shortage alert due to emerging supply issues affecting critical medications. We urge manufacturers to coordinate to alleviate supply disruptions and encourage healthcare providers to report any related concerns.
4,1.5,0.43,1.07,0,0.7133333333333334,[0],The FDA acknowledges an emerging shortage in the market and advises stakeholders to coordinate reporting and distribution efforts to mitigate disruption. We are monitoring the situation closely.
5,1.3,0.4875,0.8125,0,0.625,[0],The FDA is closely monitoring an emerging shortage situation due to a disruption at one manufacturer. We encourage all stakeholders to report relevant supply issues promptly. We're working with manufacturers to address potential shortfalls and ensure patient needs are met.
6,1.5,0.5448999999999999,0.9551000000000001,0,0.6367333333333334,[0],The FDA confirms an emerging shortage of a critical drug due to manufacturer disruptions. We encourage reporting of supply issues and coordination between stakeholders to stabilize the market.
7,1.5,0.4939,1.0061,0,0.6707333333333333,[0],The FDA is monitoring an emerging drug shortage. We encourage manufacturers to report supply status and coordinate with us for any necessary actions.
8,1.4,0.4939,0.9060999999999999,0,0.6472142857142857,[0],The FDA is closely monitoring an emerging shortage. We encourage voluntary reporting and coordination among stakeholders to address minor disruptions.
9,1.5,0.4939,1.0061,0,0.6707333333333333,[0],The FDA is aware of the emerging shortage situation and encourages stakeholders to coordinate production and distribution to minimize impact. We advise that healthcare providers and suppliers prioritize patients in most critical need as production aligns with demand.
