period,total_demand,total_supply,shortage_amount,unsold,shortage_percentage,disrupted_manufacturers,fda_announcement
0,1.2,0.9,0.29999999999999993,0.0,0.24999999999999994,[0],
1,1.5,0.9,0.6,0.0,0.39999999999999997,[0],The FDA is aware of the emerging shortage and is actively monitoring the situation. We encourage manufacturers and healthcare providers to report any supply disruptions.
2,1.5,1.05,0.44999999999999996,0.050000000000000044,0.3,[0],The FDA is aware of emerging supply disruptions affecting certain medications. We encourage manufacturers to report any production challenges and buyers to manage inventory responsibly. Coordination efforts are underway to address these issues.
3,1.5,0.92,0.58,0.0,0.38666666666666666,"[0, 1]",The FDA is aware of an emerging shortage of a critical drug. We encourage manufacturers to report any supply disruptions and coordinate with us to mitigate impacts. Buyers should maintain normal purchasing patterns to avoid exacerbating the situation.
4,1.3,0.92,0.38,0.0,0.2923076923076923,[0],The FDA is aware of an emerging shortage of a critical medication due to a disruption in manufacturing. We are actively coordinating with manufacturers to address this issue and encourage healthcare providers to report any supply challenges. Patients are advised to consult with their healthcare providers for alternatives if necessary.
5,1.3,1.076,0.22399999999999998,0.07600000000000007,0.17230769230769227,[0],The FDA is closely monitoring the emerging drug shortage situation. We encourage manufacturers and stakeholders to report any supply disruptions and coordinate efforts to ensure continued patient access.
6,1.5,1.076,0.42399999999999993,0.07600000000000007,0.2826666666666666,[0],The FDA is aware of emerging supply issues with a key medication. We encourage manufacturers to report any disruptions and collaborate to ensure patient needs are met. Stakeholders are advised to monitor the situation closely.
7,1.5,1.076,0.42399999999999993,0.07600000000000007,0.2826666666666666,[0],The FDA is aware of an emerging shortage in the market. We encourage manufacturers to report supply disruptions and coordinate efforts to stabilize supply. Buyers are advised to manage inventory responsibly.
8,1.2,1.076,0.12399999999999989,0.07600000000000007,0.10333333333333325,[0],The FDA is aware of an emerging shortage in the market. We encourage manufacturers to report any disruptions and coordinate efforts to stabilize supply. Stakeholders are advised to manage inventories responsibly.
9,1.2,1.076,0.12399999999999989,0.07600000000000007,0.10333333333333325,[0],The FDA is aware of emerging supply disruptions in the market. We encourage manufacturers and healthcare providers to report any significant changes in supply levels. Coordination among stakeholders is advised to mitigate potential impacts.
