scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,trajectory,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions
gt_id_5,adbbca20,1,2.0,2,10.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.3, 'total_supply': 0.7, 'shortage_amount': 0.6000000000000001, 'unsold': 0, 'shortage_percentage': 0.46153846153846156, 'disrupted_manufacturers': [0], 'fda_announcement': None}, {'period': 1, 'total_demand': 1.3, 'total_supply': 0.7, 'shortage_amount': 0.6000000000000001, 'unsold': 0, 'shortage_percentage': 0.46153846153846156, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA confirms an emerging shortage in the supply of [drug name]. We urge stakeholders to coordinate and prioritize supply chain solutions to minimize impact. Manufacturers should assess capacity expansion opportunities, and buyers are encouraged to avoid excessive stockpiling.'}, {'period': 2, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is actively monitoring an emerging shortage in the market. We encourage manufacturers to increase production where possible and request stakeholders to coordinate on allocation strategies to mitigate impact. Stay informed through our ongoing updates.'}, {'period': 3, 'total_demand': 1.5, 'total_supply': 1.0, 'shortage_amount': 0.5, 'unsold': 0.0, 'shortage_percentage': 0.3333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging shortage of a critical drug due to a manufacturer disruption. We are working with industry partners to address supply challenges and encourage stakeholders to coordinate efforts to mitigate impact. Voluntary reporting of inventory levels is appreciated to assist in monitoring the situation.'}, {'period': 4, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of emerging supply issues related to a specific product and is actively monitoring the situation. We encourage manufacturers to report any anticipated disruptions and buyers to maintain normal purchasing patterns. Coordination with stakeholders is recommended.'}, {'period': 5, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': None}, {'period': 6, 'total_demand': 2.0, 'total_supply': 1.2, 'shortage_amount': 0.8, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.4, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging supply issue. Manufacturers and healthcare providers are encouraged to report any significant disruptions. We are monitoring the situation closely.'}, {'period': 7, 'total_demand': 1.3, 'total_supply': 1.2, 'shortage_amount': 0.10000000000000009, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.07692307692307698, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging shortage and is actively monitoring the situation. We encourage manufacturers to report supply updates and explore capacity expansion options. Buyers are advised to manage inventory prudently and avoid stockpiling.'}, {'period': 8, 'total_demand': 1.3, 'total_supply': 1.2, 'shortage_amount': 0.10000000000000009, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.07692307692307698, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of emerging supply issues with a critical drug. We encourage manufacturers to voluntarily report any disruptions, and stakeholders to maintain necessary levels without unnecessary stockpiling. Coordination efforts are in place to assess and address supply needs.'}, {'period': 9, 'total_demand': 1.1, 'total_supply': 1.1, 'shortage_amount': 0, 'unsold': 0.10000000000000009, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of the emerging situation affecting one manufacturer. Currently, supply remains adequate and stable. We encourage industry stakeholders to continue monitoring and reporting relevant data to facilitate early coordination if needed.'}]",0.46153846153846156,0.2243589743589744,7,9.0,10.1,14.465,8
gt_id_5,779dee04,2,2.0,2,10.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.2, 'total_supply': 0.7, 'shortage_amount': 0.5, 'unsold': 0, 'shortage_percentage': 0.4166666666666667, 'disrupted_manufacturers': [0], 'fda_announcement': None}, {'period': 1, 'total_demand': 1.5, 'total_supply': 0.7, 'shortage_amount': 0.8, 'unsold': 0, 'shortage_percentage': 0.5333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA acknowledges an emerging shortage situation and encourages manufacturers and distributors to coordinate efforts to mitigate impacts. We are actively monitoring the situation and welcome voluntary reports from stakeholders.'}, {'period': 2, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging shortage situation. We advise manufacturers to ramp up production where possible and urge healthcare providers to report supply issues promptly. Coordination among stakeholders is encouraged to mitigate impact.'}, {'period': 3, 'total_demand': 1.5, 'total_supply': 1.045, 'shortage_amount': 0.45500000000000007, 'unsold': 0.04499999999999993, 'shortage_percentage': 0.3033333333333334, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA acknowledges an emerging shortage in the market. We are actively coordinating with involved manufacturers to mitigate the impact. Healthcare providers are advised to report any related supply issues.'}, {'period': 4, 'total_demand': 1.2, 'total_supply': 1.045, 'shortage_amount': 0.15500000000000003, 'unsold': 0.04499999999999993, 'shortage_percentage': 0.1291666666666667, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA confirms an emerging drug shortage due to recent disruptions in manufacturing. Stakeholders are encouraged to coordinate efforts to mitigate supply issues. Manufacturers are urged to increase transparency and report any production updates.'}, {'period': 5, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of the emerging drug shortage and is actively monitoring the situation. We encourage manufacturers and distributors to report any supply chain disruptions and collaborate on resolving this issue swiftly.'}, {'period': 6, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': None}, {'period': 7, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is monitoring an emerging drug shortage situation. Manufacturers and healthcare providers are encouraged to report any disruptions to help ensure continued patient access.'}, {'period': 8, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging supply disruption affecting one manufacturer. Current supply levels remain adequate. We encourage manufacturers and stakeholders to report any potential supply changes promptly.'}, {'period': 9, 'total_demand': 1.2, 'total_supply': 1.2, 'shortage_amount': 0, 'unsold': 0.19999999999999996, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [0], 'fda_announcement': None}]",0.5333333333333333,0.18158333333333332,5,5.0,9.931,13.5345,7
gt_id_9,dcfe53b2,1,2.0,4,4.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.2, 'total_supply': 0.85, 'shortage_amount': 0.35, 'unsold': 0, 'shortage_percentage': 0.2916666666666667, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA is aware of emerging supply issues with a manufacturer. We encourage all stakeholders to report any related disruptions and to ensure continued patient access. Coordination with the industry will continue as needed.'}, {'period': 1, 'total_demand': 1.5, 'total_supply': 0.85, 'shortage_amount': 0.65, 'unsold': 0, 'shortage_percentage': 0.43333333333333335, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is closely monitoring the emerging shortage of the specified medication and encourages manufacturers to voluntarily report production quantities and any disruption issues. We are committed to facilitating effective coordination to address potential supply gaps.'}, {'period': 2, 'total_demand': 1.3, 'total_supply': 1.05, 'shortage_amount': 0.25, 'unsold': 0.050000000000000044, 'shortage_percentage': 0.1923076923076923, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is aware of an emerging shortage of a critical medication. We encourage manufacturers to increase transparency and collaboration to address supply disruptions efficiently. Stakeholders should avoid unnecessary stockpiling to ensure equitable distribution.'}, {'period': 3, 'total_demand': 1.2, 'total_supply': 1.1783333333333332, 'shortage_amount': 0.021666666666666723, 'unsold': 0.17833333333333323, 'shortage_percentage': 0.018055555555555602, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is closely monitoring an emerging shortage situation. We encourage stakeholders to report any supply disruptions and are prepared to coordinate if needed.'}]",0.43333333333333335,0.233840811965812,4,,3.6433333333333335,5.45,4
gt_id_9,d5689337,2,2.0,4,4.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.85, 'shortage_amount': 0.15000000000000002, 'unsold': 0, 'shortage_percentage': 0.15000000000000002, 'disrupted_manufacturers': [1], 'fda_announcement': None}, {'period': 1, 'total_demand': 1.2, 'total_supply': 0.85, 'shortage_amount': 0.35, 'unsold': 0, 'shortage_percentage': 0.2916666666666667, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is actively monitoring an emerging shortage situation. Stakeholders are encouraged to report any supply issues, and manufacturers should maintain open lines of communication with the FDA to facilitate potential coordination efforts.'}, {'period': 2, 'total_demand': 1.2, 'total_supply': 0.9999999999999999, 'shortage_amount': 0.20000000000000007, 'unsold': 0, 'shortage_percentage': 0.16666666666666674, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is closely monitoring the emerging shortage and encourages manufacturers and distributors to report any supply disruptions. We are working with industry partners to ensure continuity of supply and minimize impact on patients.'}, {'period': 3, 'total_demand': 1.2, 'total_supply': 0.9999999999999999, 'shortage_amount': 0.20000000000000007, 'unsold': 0, 'shortage_percentage': 0.16666666666666674, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is aware of the emerging shortage situation regarding the identified drug. We encourage manufacturers to provide updates on their production capacities and urge healthcare providers to report any impacts on patient care. Coordination efforts are being considered to address early signs of supply disruption.'}]",0.2916666666666667,0.19375000000000003,4,,3.57625,4.785,3
gt_id_14,6b1da38f,2,2.0,6,5.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.8999999999999999, 'shortage_amount': 0.10000000000000009, 'unsold': 0, 'shortage_percentage': 0.10000000000000009, 'disrupted_manufacturers': [0], 'fda_announcement': None}, {'period': 1, 'total_demand': 1.2, 'total_supply': 0.8999999999999999, 'shortage_amount': 0.30000000000000004, 'unsold': 0, 'shortage_percentage': 0.25000000000000006, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging supply concern concerning this drug. We are monitoring the situation closely. Manufacturers are encouraged to report any supply disruptions, and stakeholders should remain informed from verified sources.'}, {'period': 2, 'total_demand': 1.3, 'total_supply': 0.8999999999999999, 'shortage_amount': 0.40000000000000013, 'unsold': 0, 'shortage_percentage': 0.30769230769230776, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is closely monitoring the emerging drug shortage situation. Manufacturers and healthcare providers are encouraged to report any supply disruptions. Coordination efforts are underway to mitigate potential impacts.'}, {'period': 3, 'total_demand': 1.3, 'total_supply': 0.9829999999999999, 'shortage_amount': 0.31700000000000017, 'unsold': 0, 'shortage_percentage': 0.24384615384615396, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging supply issue and is closely monitoring the situation. We encourage manufacturers and health providers to report any disruptions.'}, {'period': 4, 'total_demand': 1.5, 'total_supply': 1.0997, 'shortage_amount': 0.4003000000000001, 'unsold': 0.0996999999999999, 'shortage_percentage': 0.26686666666666675, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of emerging supply constraints affecting [Drug Name]. We are actively monitoring the situation and encourage manufacturers to report supply challenges. Collaboration with industry partners is key to mitigating potential supply disruptions.'}]",0.30769230769230776,0.23368102564102572,5,,4.63455,6.588299999999999,4
gt_id_48,907b4e9c,0,2.0,2,4.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.2, 'total_supply': 0.7, 'shortage_amount': 0.5, 'unsold': 0, 'shortage_percentage': 0.4166666666666667, 'disrupted_manufacturers': [0], 'fda_announcement': None}, {'period': 1, 'total_demand': 1.3, 'total_supply': 0.7, 'shortage_amount': 0.6000000000000001, 'unsold': 0, 'shortage_percentage': 0.46153846153846156, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is closely monitoring the current emerging drug shortage and encourages manufacturers and healthcare providers to report any supply issues or disruptions. We are committed to facilitating coordination to minimize patient impact.'}, {'period': 2, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is monitoring an emerging shortage situation. We encourage manufacturers to report supply issues and coordinate with each other and the FDA to stabilize the market. Stakeholders are advised to avoid unnecessary stockpiling to ensure equitable distribution.'}, {'period': 3, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA acknowledges the emerging drug shortage and encourages stakeholders to report supply issues and increase coordination efforts. Patient safety remains our priority, and we urge manufacturers to explore capacity expansions to address the current disruptions.'}]",0.46153846153846156,0.4362179487179487,4,,2.9275,5.76,3
gt_id_48,d5f0790d,2,2.0,2,4.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.2, 'total_supply': 0.7, 'shortage_amount': 0.5, 'unsold': 0, 'shortage_percentage': 0.4166666666666667, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA acknowledges an emerging supply issue. We encourage manufacturers to voluntarily report any production concerns and stakeholders to monitor their supply chains closely.'}, {'period': 1, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging drug shortage situation. We are actively monitoring the situation and coordinating with manufacturers to mitigate the impact. Healthcare providers should consider potential supply limitations and adapt practices to ensure continued patient care.'}, {'period': 2, 'total_demand': 1.4, 'total_supply': 1.045, 'shortage_amount': 0.355, 'unsold': 0.04499999999999993, 'shortage_percentage': 0.25357142857142856, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging shortage of [Drug Name]. We advise manufacturers to coordinate efforts to increase production and encourage stakeholders to report supply chain issues.'}, {'period': 3, 'total_demand': 1.5, 'total_supply': 1.045, 'shortage_amount': 0.45500000000000007, 'unsold': 0.04499999999999993, 'shortage_percentage': 0.3033333333333334, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is issuing a shortage alert for the affected drug due to emerging supply disruptions. We encourage manufacturers to review their production capacities and ask healthcare providers and suppliers to report inventory levels to facilitate coordination.'}]",0.4333333333333333,0.3517261904761905,4,,3.4675000000000002,5.8445,4
gt_id_54,b08b8cda,0,2.0,2,7.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.4, 'total_supply': 0.7, 'shortage_amount': 0.7, 'unsold': 0, 'shortage_percentage': 0.5, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is currently monitoring the emerging shortage situation closely and is aware of manufacturer disruptions. We encourage manufacturers to report any potential production issues and maintain open communication channels.'}, {'period': 1, 'total_demand': 1.5, 'total_supply': 0.7, 'shortage_amount': 0.8, 'unsold': 0, 'shortage_percentage': 0.5333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of the emerging shortage and is closely monitoring the situation. We encourage manufacturers and stakeholders to report supply issues and coordinate efforts to mitigate impact.'}, {'period': 2, 'total_demand': 1.3, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.44999999999999996, 'unsold': 0, 'shortage_percentage': 0.3461538461538461, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA has identified an emerging shortage of a critical medication due to a disruption in manufacturing. We encourage manufacturers to increase production capacity and report inventory levels. Healthcare providers are advised to monitor supply levels and report any adverse impacts. Collaboration with industry partners is underway to mitigate the impact.'}, {'period': 3, 'total_demand': 1.3, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.44999999999999996, 'unsold': 0, 'shortage_percentage': 0.3461538461538461, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is closely monitoring the current market conditions and supply adequacy of critical drugs. We encourage manufacturers to voluntarily report any disruptions and continue observing standard supply chain protocols to ensure stability.'}, {'period': 4, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is actively monitoring an emerging shortage in the market. We encourage manufacturers to voluntarily report production capacities and disruptions and remind stakeholders to coordinate carefully to optimize supply management.'}, {'period': 5, 'total_demand': 1.5, 'total_supply': 0.9475, 'shortage_amount': 0.5525, 'unsold': 0, 'shortage_percentage': 0.36833333333333335, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA acknowledges the emerging shortage of the specified medication. We recommend manufacturers and stakeholders to coordinate and report on capacity expansion opportunities. We are closely monitoring the situation.'}, {'period': 6, 'total_demand': 1.2, 'total_supply': 0.9475, 'shortage_amount': 0.25249999999999995, 'unsold': 0, 'shortage_percentage': 0.21041666666666664, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is closely monitoring an emerging drug shortage due to a disruption affecting one manufacturer. We encourage stakeholders to report supply issues and collaborate for coordinated response.'}]",0.5333333333333333,0.39110347985347976,7,,5.7212499999999995,10.1055,7
gt_id_54,e638b16b,2,2.0,2,7.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.2, 'total_supply': 0.7, 'shortage_amount': 0.5, 'unsold': 0, 'shortage_percentage': 0.4166666666666667, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is aware of minor disruptions affecting a manufacturer. The current supply is adequate and patient safety is not at risk. We encourage stakeholders to report any significant changes.'}, {'period': 1, 'total_demand': 1.5, 'total_supply': 0.7, 'shortage_amount': 0.8, 'unsold': 0, 'shortage_percentage': 0.5333333333333333, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is closely monitoring the emerging drug shortage situation. We encourage manufacturers and stakeholders to report any challenges they are facing to facilitate coordinated efforts in maintaining supply.'}, {'period': 2, 'total_demand': 1.5, 'total_supply': 0.8500000000000001, 'shortage_amount': 0.6499999999999999, 'unsold': 0, 'shortage_percentage': 0.4333333333333333, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is aware of and monitoring an emerging drug shortage. We encourage healthcare providers, manufacturers, and patients to report supply disruptions. Coordination efforts are underway to mitigate patient impacts.'}, {'period': 3, 'total_demand': 1.5, 'total_supply': 1.0125, 'shortage_amount': 0.48750000000000004, 'unsold': 0.012499999999999956, 'shortage_percentage': 0.325, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is aware of an emerging drug shortage and is actively working with manufacturers and stakeholders to resolve the issue. We encourage all partners to report status updates and potential production increases.'}, {'period': 4, 'total_demand': 1.3, 'total_supply': 1.0125, 'shortage_amount': 0.2875000000000001, 'unsold': 0.012499999999999956, 'shortage_percentage': 0.2211538461538462, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is monitoring the emerging supply shortage. We encourage manufacturers and distributors to report any supply disruptions to facilitate timely resolution.'}, {'period': 5, 'total_demand': 1.2, 'total_supply': 1.0125, 'shortage_amount': 0.1875, 'unsold': 0.012499999999999956, 'shortage_percentage': 0.15625, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is aware of emerging supply issues within the market. We encourage manufacturers to report any disruptions and buyers to remain informed of official communications for updates. We are closely monitoring the situation.'}, {'period': 6, 'total_demand': 1.2, 'total_supply': 1.0125, 'shortage_amount': 0.1875, 'unsold': 0.012499999999999956, 'shortage_percentage': 0.15625, 'disrupted_manufacturers': [1], 'fda_announcement': 'The FDA is closely monitoring the current drug supply situation. We encourage stakeholders to report any supply challenges. Coordination efforts are underway to mitigate potential disruptions.'}]",0.5333333333333333,0.3202838827838828,7,,6.143750000000001,9.7425,7
gt_id_58,257f955c,0,2.0,2,4.0,0.05,0.6,"[{'period': 0, 'total_demand': 1.2, 'total_supply': 0.7, 'shortage_amount': 0.5, 'unsold': 0, 'shortage_percentage': 0.4166666666666667, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is actively monitoring the market following reports of a manufacturer disruption. At present, supply remains adequate and no shortages have been confirmed. We encourage continued reporting from stakeholders to maintain timely information flow.'}, {'period': 1, 'total_demand': 1.5, 'total_supply': 0.7, 'shortage_amount': 0.8, 'unsold': 0, 'shortage_percentage': 0.5333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is monitoring the emerging shortage and encourages stakeholders to report any significant supply disruptions. Coordination efforts are underway to address production challenges.'}, {'period': 2, 'total_demand': 1.5, 'total_supply': 0.7, 'shortage_amount': 0.8, 'unsold': 0, 'shortage_percentage': 0.5333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of the emerging supply shortage and is working closely with the affected manufacturer and other industry stakeholders to address the issue. We encourage healthcare providers to report any supply difficulties and assure the public that steps are being taken to stabilize the supply.'}, {'period': 3, 'total_demand': 1.5, 'total_supply': 0.7, 'shortage_amount': 0.8, 'unsold': 0, 'shortage_percentage': 0.5333333333333333, 'disrupted_manufacturers': [0], 'fda_announcement': 'The FDA is aware of an emerging drug shortage and is coordinating with manufacturers to address supply issues. Stakeholders are encouraged to report any disruptions in distribution and to coordinate efforts to meet demand.'}]",0.5333333333333333,0.5041666666666667,4,,2.725,6.01,4
